,date,breakout_direction1,breakout_time1,breakout_direction2,breakout_time2,breakout_direction3,breakout_time3,breakout_direction4,breakout_time4,breakout_direction5,breakout_time5,breakout_direction6,breakout_time6,breakout_direction7,breakout_time7,breakout_direction8,breakout_time8,breakout_direction9,breakout_time9,breakout_direction10,breakout_time10,breakout_segment1,breakout_segment2,breakout_segment3,breakout_segment4,breakout_segment5,breakout_segment6,breakout_segment7,breakout_segment8,breakout_segment9,breakout_segment10
55,2008-04-09,below,2008-04-08 22:45:00,above,2008-04-09 09:40:00,,,,,,,,,,,,,,,,,adr,rdr,,,,,,,,
56,2008-04-10,above,2008-04-09 21:30:00,below,2008-04-10 08:40:00,above,2008-04-10 09:20:00,below,2008-04-10 09:40:00,above,2008-04-10 10:35:00,below,2008-04-10 10:50:00,above,2008-04-10 13:35:00,below,2008-04-10 13:45:00,,,,,adr,rdr_transition,rdr_transition,rdr,rdr,rdr,rdr,rdr,,
57,2008-04-14,above,2008-04-13 20:40:00,below,2008-04-13 22:05:00,above,2008-04-14 02:00:00,below,2008-04-14 04:20:00,above,2008-04-14 04:30:00,below,2008-04-14 05:45:00,above,2008-04-14 06:15:00,,,,,,,adr,adr,adr_transition,odr,odr,odr,odr,,,
58,2008-04-15,below,2008-04-14 21:05:00,above,2008-04-14 22:25:00,below,2008-04-15 04:05:00,above,2008-04-15 04:30:00,below,2008-04-15 05:00:00,above,2008-04-15 05:15:00,below,2008-04-15 05:30:00,above,2008-04-15 05:55:00,,,,,adr,adr,odr,odr,odr,odr,odr,odr,,
59,2008-04-16,above,2008-04-15 20:50:00,below,2008-04-16 09:40:00,above,2008-04-16 10:00:00,below,2008-04-16 10:25:00,above,2008-04-16 10:35:00,below,2008-04-16 11:30:00,above,2008-04-16 13:00:00,,,,,,,adr,rdr,rdr,rdr,rdr,rdr,rdr,,,
60,2008-04-17,above,2008-04-16 22:10:00,below,2008-04-17 03:00:00,above,2008-04-17 03:50:00,below,2008-04-17 07:20:00,above,2008-04-17 09:10:00,below,2008-04-17 11:05:00,above,2008-04-17 12:35:00,below,2008-04-17 13:10:00,above,2008-04-17 14:20:00,,,adr,odr,odr,odr,rdr_transition,rdr,rdr,rdr,rdr,
61,2008-04-21,below,2008-04-21 02:40:00,above,2008-04-21 03:50:00,below,2008-04-21 06:10:00,above,2008-04-21 06:50:00,below,2008-04-21 09:05:00,above,2008-04-21 09:55:00,below,2008-04-21 10:25:00,above,2008-04-21 14:10:00,,,,,adr_transition,odr,odr,odr,rdr_transition,rdr,rdr,rdr,,
62,2008-04-22,above,2008-04-22 00:15:00,below,2008-04-22 01:50:00,above,2008-04-22 03:40:00,below,2008-04-22 03:50:00,above,2008-04-22 03:55:00,below,2008-04-22 04:25:00,above,2008-04-22 04:40:00,below,2008-04-22 08:40:00,above,2008-04-22 08:55:00,below,2008-04-22 09:05:00,adr,adr,odr,odr,odr,odr,odr,rdr_transition,rdr_transition,rdr_transition
63,2008-04-23,below,2008-04-22 22:00:00,above,2008-04-23 11:15:00,below,2008-04-23 11:20:00,above,2008-04-23 13:50:00,below,2008-04-23 13:55:00,above,2008-04-23 14:00:00,,,,,,,,,adr,rdr,rdr,rdr,rdr,rdr,,,,
64,2008-04-24,below,2008-04-23 21:25:00,above,2008-04-24 02:05:00,below,2008-04-24 04:00:00,,,,,,,,,,,,,,,adr,adr_transition,odr,,,,,,,
65,2008-04-28,below,2008-04-27 21:20:00,above,2008-04-28 00:40:00,below,2008-04-28 03:05:00,above,2008-04-28 03:35:00,below,2008-04-28 03:55:00,above,2008-04-28 04:30:00,below,2008-04-28 04:55:00,,,,,,,adr,adr,odr,odr,odr,odr,odr,,,
66,2008-04-29,below,2008-04-28 20:40:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
67,2008-04-30,above,2008-04-29 21:35:00,below,2008-04-30 03:50:00,above,2008-04-30 07:25:00,below,2008-04-30 10:30:00,,,,,,,,,,,,,adr,odr,odr,rdr,,,,,,
68,2008-05-01,above,2008-04-30 20:45:00,below,2008-05-01 01:35:00,,,,,,,,,,,,,,,,,adr,adr,,,,,,,,
69,2008-05-05,above,2008-05-04 20:40:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
70,2008-05-06,above,2008-05-05 20:55:00,below,2008-05-06 06:45:00,above,2008-05-06 07:25:00,below,2008-05-06 08:20:00,above,2008-05-06 09:00:00,,,,,,,,,,,adr,odr,odr,rdr_transition,rdr_transition,,,,,
71,2008-05-07,below,2008-05-06 21:30:00,above,2008-05-06 23:15:00,below,2008-05-06 23:35:00,above,2008-05-07 03:05:00,below,2008-05-07 04:35:00,above,2008-05-07 05:00:00,below,2008-05-07 06:00:00,above,2008-05-07 07:15:00,below,2008-05-07 09:00:00,above,2008-05-07 09:20:00,adr,adr,adr,odr,odr,odr,odr,odr,rdr_transition,rdr_transition
72,2008-05-08,below,2008-05-07 20:55:00,above,2008-05-08 14:40:00,,,,,,,,,,,,,,,,,adr,rdr,,,,,,,,
73,2008-05-12,below,2008-05-11 20:40:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
74,2008-05-13,below,2008-05-12 22:35:00,above,2008-05-13 03:40:00,below,2008-05-13 04:05:00,above,2008-05-13 05:10:00,below,2008-05-13 05:55:00,above,2008-05-13 07:35:00,,,,,,,,,adr,odr,odr,odr,odr,odr,,,,
75,2008-05-14,below,2008-05-14 01:00:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
76,2008-05-15,below,2008-05-14 22:00:00,above,2008-05-15 01:55:00,below,2008-05-15 12:15:00,above,2008-05-15 14:25:00,below,2008-05-15 14:35:00,above,2008-05-15 14:50:00,,,,,,,,,adr,adr,rdr,rdr,rdr,rdr,,,,
77,2008-05-19,above,2008-05-18 22:15:00,below,2008-05-18 22:30:00,above,2008-05-18 23:20:00,below,2008-05-19 02:45:00,above,2008-05-19 03:30:00,below,2008-05-19 04:00:00,above,2008-05-19 07:10:00,below,2008-05-19 09:30:00,above,2008-05-19 09:35:00,below,2008-05-19 10:00:00,adr,adr,adr,adr_transition,odr,odr,odr,rdr,rdr,rdr
78,2008-05-20,above,2008-05-19 21:40:00,below,2008-05-20 03:20:00,above,2008-05-20 04:30:00,below,2008-05-20 04:40:00,above,2008-05-20 08:05:00,,,,,,,,,,,adr,odr,odr,odr,rdr_transition,,,,,
