,date,breakout_direction1,breakout_time1,breakout_direction2,breakout_time2,breakout_direction3,breakout_time3,breakout_direction4,breakout_time4,breakout_direction5,breakout_time5,breakout_direction6,breakout_time6,breakout_direction7,breakout_time7,breakout_direction8,breakout_time8,breakout_direction9,breakout_time9,breakout_direction10,breakout_time10
61,2008-04-21,above,2008-04-20 22:30:00,below,2008-04-21 05:30:00,above,2008-04-21 09:55:00,below,2008-04-21 10:00:00,above,2008-04-21 11:40:00,,,,,,,,,,
62,2008-04-22,below,2008-04-21 21:10:00,above,2008-04-22 05:30:00,below,2008-04-22 09:10:00,,,,,,,,,,,,,,
63,2008-04-23,above,2008-04-22 21:10:00,below,2008-04-23 06:50:00,above,2008-04-23 08:00:00,,,,,,,,,,,,,,
64,2008-04-24,below,2008-04-23 20:50:00,above,2008-04-23 21:55:00,below,2008-04-24 06:55:00,above,2008-04-24 07:25:00,,,,,,,,,,,,
65,2008-04-28,above,2008-04-27 20:50:00,,,,,,,,,,,,,,,,,,
66,2008-04-29,below,2008-04-28 20:55:00,above,2008-04-29 09:55:00,below,2008-04-29 10:10:00,above,2008-04-29 11:20:00,below,2008-04-29 12:00:00,above,2008-04-29 12:25:00,,,,,,,,
67,2008-04-30,above,2008-04-29 20:35:00,below,2008-04-30 04:55:00,above,2008-04-30 08:30:00,below,2008-04-30 14:55:00,,,,,,,,,,,,
68,2008-05-01,below,2008-04-30 21:00:00,above,2008-05-01 02:00:00,below,2008-05-01 05:10:00,above,2008-05-01 05:30:00,below,2008-05-01 09:05:00,above,2008-05-01 09:30:00,,,,,,,,
69,2008-05-05,below,2008-05-04 21:20:00,above,2008-05-05 09:50:00,below,2008-05-05 10:25:00,,,,,,,,,,,,,,
70,2008-05-06,above,2008-05-05 21:10:00,below,2008-05-06 04:55:00,above,2008-05-06 12:00:00,,,,,,,,,,,,,,
71,2008-05-07,below,2008-05-06 21:50:00,above,2008-05-07 10:40:00,below,2008-05-07 10:55:00,,,,,,,,,,,,,,
72,2008-05-08,above,2008-05-07 20:45:00,below,2008-05-08 10:15:00,above,2008-05-08 10:20:00,below,2008-05-08 10:35:00,above,2008-05-08 10:55:00,,,,,,,,,,
73,2008-05-12,above,2008-05-11 22:00:00,below,2008-05-12 10:10:00,above,2008-05-12 10:20:00,,,,,,,,,,,,,,
74,2008-05-13,above,2008-05-12 20:45:00,below,2008-05-13 04:30:00,above,2008-05-13 08:40:00,below,2008-05-13 09:30:00,above,2008-05-13 10:35:00,below,2008-05-13 10:45:00,above,2008-05-13 14:05:00,,,,,,
75,2008-05-14,below,2008-05-13 21:40:00,above,2008-05-14 02:40:00,below,2008-05-14 05:30:00,above,2008-05-14 06:55:00,below,2008-05-14 07:15:00,above,2008-05-14 08:25:00,below,2008-05-14 15:40:00,,,,,,
76,2008-05-15,above,2008-05-14 20:40:00,below,2008-05-15 09:30:00,above,2008-05-15 09:35:00,,,,,,,,,,,,,,
77,2008-05-19,below,2008-05-19 03:05:00,above,2008-05-19 06:05:00,below,2008-05-19 09:35:00,above,2008-05-19 09:50:00,below,2008-05-19 14:10:00,,,,,,,,,,
78,2008-05-20,below,2008-05-19 21:20:00,,,,,,,,,,,,,,,,,,
79,2008-05-21,above,2008-05-20 21:00:00,below,2008-05-20 21:45:00,above,2008-05-20 22:25:00,below,2008-05-21 06:10:00,above,2008-05-21 09:35:00,below,2008-05-21 10:05:00,,,,,,,,
80,2008-05-22,above,2008-05-21 21:05:00,below,2008-05-22 08:20:00,above,2008-05-22 08:55:00,below,2008-05-22 09:45:00,above,2008-05-22 09:50:00,,,,,,,,,,
81,2008-05-26,below,2008-05-25 20:45:00,above,2008-05-26 03:30:00,below,2008-05-26 04:05:00,above,2008-05-26 04:50:00,,,,,,,,,,,,
82,2008-05-27,above,2008-05-26 20:50:00,below,2008-05-27 04:25:00,above,2008-05-27 09:00:00,,,,,,,,,,,,,,
83,2008-05-28,below,2008-05-27 20:35:00,above,2008-05-28 05:35:00,below,2008-05-28 10:00:00,above,2008-05-28 10:10:00,below,2008-05-28 10:15:00,above,2008-05-28 10:40:00,below,2008-05-28 10:45:00,above,2008-05-28 10:55:00,below,2008-05-28 11:10:00,above,2008-05-28 15:25:00
84,2008-05-29,above,2008-05-28 20:35:00,below,2008-05-29 08:55:00,above,2008-05-29 09:15:00,,,,,,,,,,,,,,
85,2008-06-02,below,2008-06-01 20:35:00,,,,,,,,,,,,,,,,,,
86,2008-06-03,above,2008-06-02 20:35:00,below,2008-06-03 00:05:00,above,2008-06-03 03:55:00,below,2008-06-03 04:10:00,above,2008-06-03 05:05:00,below,2008-06-03 13:30:00,,,,,,,,
87,2008-06-04,above,2008-06-03 21:15:00,below,2008-06-04 04:00:00,above,2008-06-04 09:35:00,,,,,,,,,,,,,,
88,2008-06-05,below,2008-06-04 21:10:00,above,2008-06-05 01:00:00,,,,,,,,,,,,,,,,
89,2008-06-09,above,2008-06-08 21:10:00,below,2008-06-09 09:40:00,,,,,,,,,,,,,,,,
90,2008-06-10,below,2008-06-09 20:35:00,above,2008-06-10 13:10:00,below,2008-06-10 13:30:00,,,,,,,,,,,,,,
91,2008-06-11,above,2008-06-10 20:40:00,below,2008-06-10 22:05:00,above,2008-06-10 23:55:00,below,2008-06-11 09:15:00,,,,,,,,,,,,
92,2008-06-12,above,2008-06-11 22:00:00,below,2008-06-12 14:40:00,above,2008-06-12 15:55:00,,,,,,,,,,,,,,
93,2008-06-16,below,2008-06-15 21:25:00,above,2008-06-16 05:55:00,below,2008-06-16 07:35:00,above,2008-06-16 10:15:00,below,2008-06-16 10:35:00,above,2008-06-16 10:50:00,,,,,,,,
94,2008-06-17,above,2008-06-16 21:45:00,below,2008-06-16 23:35:00,above,2008-06-17 02:00:00,below,2008-06-17 12:30:00,above,2008-06-17 13:05:00,below,2008-06-17 15:15:00,,,,,,,,
95,2008-06-18,above,2008-06-17 20:55:00,below,2008-06-18 04:25:00,above,2008-06-18 04:55:00,below,2008-06-18 06:15:00,,,,,,,,,,,,
96,2008-06-19,above,2008-06-18 20:50:00,below,2008-06-18 23:00:00,above,2008-06-19 05:30:00,below,2008-06-19 09:05:00,above,2008-06-19 09:30:00,below,2008-06-19 10:00:00,above,2008-06-19 10:35:00,,,,,,
97,2008-06-23,below,2008-06-22 21:20:00,above,2008-06-22 23:35:00,below,2008-06-23 05:00:00,above,2008-06-23 05:50:00,below,2008-06-23 07:45:00,above,2008-06-23 08:35:00,below,2008-06-23 09:45:00,,,,,,
98,2008-06-24,above,2008-06-23 21:10:00,below,2008-06-23 23:50:00,above,2008-06-24 00:15:00,below,2008-06-24 04:05:00,above,2008-06-24 11:15:00,below,2008-06-24 11:25:00,above,2008-06-24 11:45:00,below,2008-06-24 15:10:00,,,,
99,2008-06-25,above,2008-06-25 01:10:00,,,,,,,,,,,,,,,,,,
100,2008-06-26,above,2008-06-25 20:50:00,below,2008-06-26 05:20:00,,,,,,,,,,,,,,,,
101,2008-06-30,above,2008-06-29 21:00:00,below,2008-06-30 03:45:00,above,2008-06-30 11:25:00,below,2008-06-30 11:35:00,,,,,,,,,,,,
102,2008-07-01,above,2008-06-30 20:50:00,below,2008-07-01 01:50:00,above,2008-07-01 10:45:00,below,2008-07-01 11:40:00,above,2008-07-01 14:05:00,,,,,,,,,,
103,2008-07-02,below,2008-07-01 20:35:00,above,2008-07-02 03:00:00,below,2008-07-02 03:10:00,above,2008-07-02 03:55:00,below,2008-07-02 10:15:00,above,2008-07-02 10:45:00,below,2008-07-02 11:00:00,,,,,,
104,2008-07-03,above,2008-07-02 20:55:00,below,2008-07-03 08:05:00,above,2008-07-03 08:30:00,below,2008-07-03 09:45:00,above,2008-07-03 09:55:00,below,2008-07-03 10:00:00,above,2008-07-03 10:15:00,,,,,,
105,2008-07-07,above,2008-07-06 20:45:00,below,2008-07-07 13:00:00,above,2008-07-07 13:15:00,below,2008-07-07 13:25:00,above,2008-07-07 14:20:00,below,2008-07-07 14:25:00,above,2008-07-07 14:30:00,below,2008-07-07 14:40:00,above,2008-07-07 15:00:00,,
106,2008-07-08,below,2008-07-07 20:40:00,above,2008-07-08 09:05:00,below,2008-07-08 09:15:00,above,2008-07-08 09:35:00,below,2008-07-08 10:35:00,above,2008-07-08 10:55:00,,,,,,,,
